@relation people_2D-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute n_points numeric
@attribute std numeric
@attribute mean_deviation numeric
@attribute width numeric
@attribute linearity numeric
@attribute circularity numeric
@attribute radius numeric
@attribute boundary_length numeric
@attribute boundary_regularity numeric
@attribute mean_curvaure numeric
@attribute angular_difference numeric
@attribute person {-1,1}

@data
13,0.31228,0.089722,0.33029,0.056683,0.003116,0.28629,0.33446,0.00125,53.36,-0.002568,-1
7,0.15942,0.021775,0.068152,0.022717,0.000117,0.040926,0.073806,0.004949,184,0.054012,-1
58,0.45256,0.20156,0.7537,1.7308,0.3981,0.26169,0.986,0.015844,1041.8,-0.009864,-1
77,0.47017,0.21786,0.87468,1.2462,1.2208,0.26585,1.0475,0.006884,2142.1,0.012342,-1
21,0.2045,0.040635,0.12068,0.31501,0.002889,0.048118,0.20385,0.005794,749.52,0.11352,1
20,0.34867,0.11687,0.38462,2.1579,0.032595,0.1387,0.51162,0.022608,282.46,-0.016902,-1
21,0.19622,0.036397,0.13652,0.17797,0.000853,0.075858,0.16485,0.002392,701.95,0.070632,-1
30,0.29559,0.082765,0.31548,0.8119,0.000726,0.18091,0.39198,0.005171,1175.3,0.033115,-1
49,0.46858,0.21502,0.84884,0.21,0.05128,0.84155,0.86076,0.001314,398.04,0.000722,-1
13,0.30306,0.084382,0.30792,0.061865,0.000645,0.46503,0.3192,0.005239,168.78,-0.013223,-1
15,0.28767,0.07714,0.28604,0.26517,0.030333,0.088898,0.41649,0.022448,352.09,0.049149,-1
21,0.32903,0.10038,0.3736,0.67167,0.002096,0.2009,0.48742,0.016153,504.83,-0.066721,-1
34,0.49526,0.23712,0.90513,0.16343,0.021768,1.2958,0.96802,0.012844,374.04,0.069135,-1
13,0.31299,0.09021,0.33099,0.055773,0.029506,0.10725,0.33475,0.000895,50.516,-0.002566,-1
7,0.15399,0.020249,0.072635,0.031911,0.000044,0.05128,0.083023,0.007261,236.77,0.19946,-1
58,0.45201,0.20134,0.75362,1.7157,0.35484,0.27182,0.96899,0.015518,867.72,-0.006028,-1
86,0.51533,0.25978,1.0707,1.5171,0.17306,0.92098,1.2279,0.006214,2033.8,0.009356,-1
21,0.20787,0.039913,0.11413,0.46351,0.001131,0.04945,0.20841,0.009615,860.59,0.058382,1
12,0.26314,0.062254,0.22091,0.31446,0.000723,0.10907,0.287,0.016546,140.83,-0.14405,-1
21,0.19613,0.036664,0.13491,0.19653,0.002001,0.063477,0.16883,0.002661,928.24,0.015245,-1
31,0.30242,0.086854,0.33198,0.73282,0.00071,0.20104,0.39878,0.006086,872.45,0.008368,-1
49,0.46872,0.21516,0.84909,0.16499,0.031966,1.0711,0.86884,0.001509,691.98,0.010981,-1
13,0.30116,0.083409,0.30821,0.051222,0.000505,0.52923,0.31482,0.003582,109.32,-0.03195,-1
11,0.25933,0.063997,0.17597,0.25015,0.00185,0.072433,0.2636,0.013727,205.5,0.08262,-1
20,0.32158,0.095361,0.3706,0.60073,0.000956,0.20708,0.45215,0.016934,326.59,-0.073727,-1
34,0.49669,0.238,0.9065,0.17629,0.023976,1.2391,0.96076,0.014764,372.68,0.065202,-1
13,0.31275,0.089912,0.33043,0.066112,0.001053,0.44152,0.33472,0.000975,48.002,0.00949,-1
6,0.14399,0.017313,0.056048,0.016834,0.000025,0.044211,0.061322,0.004301,178.42,0.18252,-1
58,0.45215,0.20125,0.75289,1.6696,0.40883,0.25941,0.97219,0.015577,975.17,-0.011084,-1
95,0.56704,0.3128,1.361,2.1078,0.070255,1.8732,1.5353,0.008435,2187,0.020844,-1
5,0.18606,0.027535,0.080858,0.046954,0.000113,0.041499,0.097671,0.003725,84.571,-0.21007,-1
41,0.38224,0.14201,0.33496,1.1538,0.017872,0.14824,0.54544,0.023297,1837.8,0.05399,-1
30,0.30292,0.086567,0.33561,0.71897,0.000729,0.1966,0.39668,0.005478,655.76,0.037136,-1
51,0.47759,0.22356,0.87868,0.32119,0.009549,2.0516,0.90171,0.00127,630.79,-0.006013,-1
13,0.30187,0.083619,0.30254,0.062682,0.000595,0.44747,0.30969,0.003729,109.51,-0.002282,-1
12,0.26188,0.065477,0.19396,0.29873,0.001681,0.082933,0.2762,0.013994,200.72,0.13459,-1
17,0.31808,0.09134,0.37052,0.39938,0.002153,0.21449,0.43095,0.019542,389.83,-0.028375,-1
33,0.48559,0.22728,0.88225,0.16375,0.006357,2.0369,0.9419,0.015396,313.44,0.071258,-1
13,0.31103,0.089271,0.32965,0.038552,0.001521,0.40874,0.33174,0.000325,30.483,0.003516,-1
